product_id,product_name,category,brand,price,stock_quantity,rating,launch_date,cost,margin
1,Product_1,Sports,BrandA,1089.68,784,2.5,2020-01-01,436.85,59.9
2,Product_2,Books,BrandB,945.95,119,2.0,2020-01-08,326.86,65.4
3,Product_3,Home,BrandD,541.46,849,4.5,2020-01-15,410.1,24.3
4,Product_4,Books,BrandB,116.78,439,3.7,2020-01-22,38.28,67.2
5,Product_5,Books,BrandC,820.27,770,2.1,2020-01-29,367.44,55.2
6,Product_6,Clothing,BrandB,109.92,503,2.0,2020-02-05,59.74,45.7
7,Product_7,Home,BrandB,1103.23,581,1.1,2020-02-12,343.09,68.9
8,Product_8,Home,BrandE,618.05,432,2.4,2020-02-19,465.67,24.7
9,Product_9,Home,BrandC,1069.54,182,3.1,2020-02-26,474.41,55.6
10,Product_10,Books,BrandA,272.92,460,2.1,2020-03-04,85.77,68.6
11,Product_11,Sports,BrandB,1865.6,758,3.8,2020-03-11,1486.5,20.3
12,Product_12,Home,BrandA,1789.57,117,2.6,2020-03-18,815.5,54.4
13,Product_13,Health,BrandC,384.04,30,2.3,2020-03-25,283.57,26.2
14,Product_14,Books,BrandB,690.17,976,4.8,2020-04-01,363.54,47.3
15,Product_15,Clothing,BrandE,1228.92,148,2.1,2020-04-08,776.14,36.8
16,Product_16,Sports,BrandD,195.89,527,2.6,2020-04-15,82.38,57.9
17,Product_17,Health,BrandE,712.36,272,2.5,2020-04-22,392.82,44.9
18,Product_18,Health,BrandE,505.97,863,2.0,2020-04-29,216.97,57.1
19,Product_19,Clothing,BrandD,1831.46,384,1.9,2020-05-06,1420.37,22.4
20,Product_20,Sports,BrandD,1705.76,879,2.2,2020-05-13,563.71,67.0
21,Product_21,Books,BrandD,1161.77,101,4.5,2020-05-20,508.08,56.3
22,Product_22,Electronics,BrandB,1043.09,71,4.1,2020-05-27,778.72,25.3
23,Product_23,Sports,BrandA,1861.8,704,3.7,2020-06-03,1005.41,46.0
24,Product_24,Clothing,BrandA,1865.19,833,2.8,2020-06-10,1119.19,40.0
25,Product_25,Health,BrandD,1938.81,622,3.0,2020-06-17,1213.4,37.4
26,Product_26,Books,BrandE,255.13,804,2.1,2020-06-24,85.59,66.5
27,Product_27,Sports,BrandC,325.31,407,1.3,2020-07-01,100.48,69.1
28,Product_28,Electronics,BrandD,1355.09,346,2.3,2020-07-08,1041.96,23.1
29,Product_29,Electronics,BrandE,1085.16,851,3.0,2020-07-15,472.86,56.4
30,Product_30,Home,BrandE,41.84,366,1.2,2020-07-22,20.51,51.0
31,Product_31,Home,BrandB,128.64,829,1.4,2020-07-29,82.46,35.9
32,Product_32,Clothing,BrandB,1776.72,788,2.1,2020-08-05,742.94,58.2
33,Product_33,Sports,BrandA,1738.4,617,2.5,2020-08-12,1158.71,33.3
34,Product_34,Sports,BrandA,717.76,548,2.6,2020-08-19,379.78,47.1
35,Product_35,Health,BrandC,1782.65,290,1.5,2020-08-26,1298.31,27.2
36,Product_36,Health,BrandC,1189.38,421,1.9,2020-09-02,522.46,56.1
37,Product_37,Health,BrandC,1612.78,180,2.0,2020-09-09,648.19,59.8
38,Product_38,Home,BrandC,857.72,654,1.3,2020-09-16,613.99,28.4
39,Product_39,Sports,BrandE,231.23,113,2.3,2020-09-23,107.1,53.7
40,Product_40,Sports,BrandE,870.29,237,1.3,2020-09-30,440.31,49.4
41,Product_41,Electronics,BrandA,917.31,937,3.8,2020-10-07,639.23,30.3
42,Product_42,Home,BrandB,1104.13,93,2.5,2020-10-14,682.12,38.2
43,Product_43,Books,BrandB,215.64,259,2.3,2020-10-21,112.32,47.9
44,Product_44,Home,BrandD,1982.85,106,1.5,2020-10-28,842.6,57.5
45,Product_45,Books,BrandE,492.05,243,1.9,2020-11-04,335.63,31.8
46,Product_46,Electronics,BrandC,401.11,422,1.9,2020-11-11,156.52,61.0
47,Product_47,Clothing,BrandC,1055.97,334,4.9,2020-11-18,806.91,23.6
48,Product_48,Sports,BrandD,1076.73,22,4.3,2020-11-25,403.94,62.5
49,Product_49,Electronics,BrandB,882.44,872,1.1,2020-12-02,619.88,29.8
50,Product_50,Sports,BrandC,1544.92,270,3.5,2020-12-09,791.19,48.8
51,Product_51,Health,BrandB,1035.73,985,2.0,2020-12-16,407.05,60.7
52,Product_52,Clothing,BrandD,1221.34,139,1.4,2020-12-23,612.12,49.9
53,Product_53,Clothing,BrandB,1448.87,465,3.8,2020-12-30,595.16,58.9
54,Product_54,Electronics,BrandB,54.93,453,1.5,2021-01-06,20.21,63.2
55,Product_55,Clothing,BrandB,1143.44,383,2.8,2021-01-13,479.76,58.0
56,Product_56,Books,BrandC,1768.97,593,3.5,2021-01-20,1297.89,26.6
57,Product_57,Clothing,BrandA,39.69,376,3.2,2021-01-27,14.01,64.7
58,Product_58,Sports,BrandE,813.34,437,4.9,2021-02-03,639.5,21.4
59,Product_59,Sports,BrandB,1852.82,855,4.1,2021-02-10,560.48,69.7
60,Product_60,Sports,BrandB,709.54,421,4.1,2021-02-17,446.39,37.1
61,Product_61,Sports,BrandB,920.16,155,2.4,2021-02-24,670.11,27.2
62,Product_62,Books,BrandA,1963.18,334,1.0,2021-03-03,1505.72,23.3
63,Product_63,Home,BrandD,402.65,530,3.9,2021-03-10,149.78,62.8
64,Product_64,Health,BrandC,135.18,580,5.0,2021-03-17,87.75,35.1
65,Product_65,Electronics,BrandA,1719.55,959,2.6,2021-03-24,608.16,64.6
66,Product_66,Sports,BrandB,1737.59,131,4.9,2021-03-31,827.62,52.4
67,Product_67,Clothing,BrandA,946.8,767,1.6,2021-04-07,630.53,33.4
68,Product_68,Sports,BrandA,1030.84,720,2.2,2021-04-14,487.57,52.7
69,Product_69,Clothing,BrandA,1672.43,500,1.7,2021-04-21,763.78,54.3
70,Product_70,Health,BrandD,1478.43,521,2.9,2021-04-28,529.32,64.2
71,Product_71,Health,BrandE,533.97,139,4.2,2021-05-05,177.93,66.7
72,Product_72,Health,BrandC,38.7,964,2.4,2021-05-12,13.84,64.2
73,Product_73,Clothing,BrandD,962.0,134,4.6,2021-05-19,709.7,26.2
74,Product_74,Sports,BrandD,1718.53,766,3.2,2021-05-26,525.18,69.4
75,Product_75,Health,BrandE,1792.19,811,2.9,2021-06-02,1158.53,35.4
76,Product_76,Books,BrandD,1912.67,406,4.1,2021-06-09,1308.86,31.6
77,Product_77,Clothing,BrandA,1759.73,769,1.4,2021-06-16,1027.58,41.6
78,Product_78,Clothing,BrandA,1162.19,93,4.1,2021-06-23,773.31,33.5
79,Product_79,Sports,BrandB,891.99,883,2.0,2021-06-30,558.51,37.4
80,Product_80,Clothing,BrandD,1550.83,240,2.1,2021-07-07,818.5,47.2
81,Product_81,Clothing,BrandB,1480.94,748,3.4,2021-07-14,727.67,50.9
82,Product_82,Health,BrandC,1078.6,164,4.6,2021-07-21,831.24,22.9
83,Product_83,Sports,BrandA,179.22,324,3.3,2021-07-28,140.86,21.4
84,Product_84,Health,BrandC,1852.53,659,3.6,2021-08-04,1159.01,37.4
